"","Order","Family","Genus","Species"
"1","Paucituberculata","Abderitidae","Abderites","meridionalis"
"2","Paucituberculata","Abderitidae","Abderites","meridionalis"
"3","Paucituberculata","Abderitidae","Abderites","meridionalis"
"4","Paucituberculata","Abderitidae","Abderites","meridionalis"
"5","Paucituberculata","Abderitidae","Abderites","meridionalis"
"6","Paucituberculata","Abderitidae","Abderites","meridionalis"
"7","Paucituberculata","Abderitidae","Abderites","NA"
"8","Paucituberculata","Abderitidae","Abderites","NA"
"9","Paucituberculata","Abderitidae","Abderites","meridionalis"
"10","Paucituberculata","Abderitidae","Abderites","meridionalis"
"11","Paucituberculata","Abderitiidae","Pithiculites","chenche"
"12","Paucituberculata","Abderitidae","Pitheculites","rothi"
"13","Paucituberculata","Abderitidae","Pitheculites","NA"
"14","Rodentia","Abrocomidae","Abrocoma","antiqua"
"15","Rodentia","Abrocomidae","Abrocoma","antiqua"
"16","Rodentia","Abrocomidae","Abrocoma","boliviensis"
"17","Rodentia","Abrocomidae","Abrocoma","boliviensis"
"18","Rodentia","Abrocomidae","Abrocoma","boliviensis"
"19","Rodentia","Abrocomidae","Ameghinomys","constans"
"20","Rodentia","Abrocomidae","Ameghinomys","constans"
"21","Rodentia","Abrocomidae","Ameghinomys","constans"
"22","Rodentia","Abrocomidae","Ameghinomys","constans"
"23","Rodentia","Abrocomidae","Ameghinomys","constans"
"24","Rodentia","Abrocomidae","Ameghinomys","constans"
"25","Rodentia","Abrocomidae","Ameghinomys","constans"
"26","Rodentia","Abrocomidae","Ameghinomys","constans"
"27","Rodentia","Abrocomidae","Ameghinomys","constans"
"28","Rodentia","Abrocomidae","Abrocoma","NA"
"29","Rodentia","Abrocomidae","Abrocoma","NA"
"30","Rodentia","Abrocomidae","Abrocoma","NA"
"31","Rodentia","Abrocomidae","Abrocoma","NA"
"32","Rodentia","Abrocomidae","Abrocoma","NA"
"33","Rodentia","Abrocomidae","Abrocoma","NA"
"34","Rodentia","Abrocomidae","Abrocoma","NA"
"35","Rodentia","Abrocomidae","Protabrocoma","antiqua"
