Age	fragmentation.index
0	0.390019097
0.1	0.3961542486
0.2	0.4022894002
0.3	0.4084245518
0.4	0.4145597034
0.5	0.420694855
0.6	0.4268300066
0.7	0.4329651582
0.8	0.4391003098
0.9	0.4452354614
1	0.451370613
1.1	0.4513612422
1.2	0.4513518714
1.3	0.4513425006
1.4	0.4513331298
1.5	0.451323759
1.6	0.4513143882
1.7	0.4513050174
1.8	0.4512956466
1.9	0.4512862758
2	0.451276905
2.1	0.4512127653
2.2	0.4511486256
2.3	0.4510844859
2.4	0.4510203462
2.5	0.4509562065
2.6	0.4508920668
2.7	0.4508279271
2.8	0.4507637874
2.9	0.4506996477
3	0.450635508
3.1	0.4518015891
3.2	0.4529676702
3.3	0.4541337513
3.4	0.4552998324
3.5	0.4564659135
3.6	0.4576319946
3.7	0.4587980757
3.8	0.4599641568
3.9	0.4611302379
4	0.462296319
4.1	0.4616044422
4.2	0.4609125654
4.3	0.4602206886
4.4	0.4595288118
4.5	0.458836935
4.6	0.4581450582
4.7	0.4574531814
4.8	0.4567613046
4.9	0.4560694278
5	0.455377551
5.1	0.455449897
5.2	0.455522243
5.3	0.455594589
5.4	0.455666935
5.5	0.455739281
5.6	0.455811627
5.7	0.455883973
5.8	0.455956319
5.9	0.456028665
6	0.456101011
6.1	0.4562337057
6.2	0.4563664004
6.3	0.4564990951
6.4	0.4566317898
6.5	0.4567644845
6.6	0.4568971792
6.7	0.4570298739
6.8	0.4571625686
6.9	0.4572952633
7	0.457427958
7.1	0.4588729683
7.2	0.4603179786
7.3	0.4617629889
7.4	0.4632079992
7.5	0.4646530095
7.6	0.4660980198
7.7	0.4675430301
7.8	0.4689880404
7.9	0.4704330507
8	0.471878061
8.1	0.4718721114
8.2	0.4718661618
8.3	0.4718602122
8.4	0.4718542626
8.5	0.471848313
8.6	0.4718423634
8.7	0.4718364138
8.8	0.4718304642
8.9	0.4718245146
9	0.471818565
9.1	0.4718459919
9.2	0.4718734188
9.3	0.4719008457
9.4	0.4719282726
9.5	0.4719556995
9.6	0.4719831264
9.7	0.4720105533
9.8	0.4720379802
9.9	0.4720654071
10	0.472092834
10.1	0.4739857428
10.2	0.4758786516
10.3	0.4777715604
10.4	0.4796644692
10.5	0.481557378
10.6	0.4834502868
10.7	0.4853431956
10.8	0.4872361044
10.9	0.4891290132
11	0.491021922
11.1	0.4922662417
11.2	0.4935105614
11.3	0.4947548811
11.4	0.4959992008
11.5	0.4972435205
11.6	0.4984878402
11.7	0.4997321599
11.8	0.5009764796
11.9	0.5022207993
12	0.503465119
12.1	0.5044918848
12.2	0.5055186506
12.3	0.5065454164
12.4	0.5075721822
12.5	0.508598948
12.6	0.5096257138
12.7	0.5106524796
12.8	0.5116792454
12.9	0.5127060112
13	0.513732777
13.1	0.5137702904
13.2	0.5138078038
13.3	0.5138453172
13.4	0.5138828306
13.5	0.513920344
13.6	0.5139578574
13.7	0.5139953708
13.8	0.5140328842
13.9	0.5140703976
14	0.514107911
14.1	0.5131425551
14.2	0.5121771992
14.3	0.5112118433
14.4	0.5102464874
14.5	0.5092811315
14.6	0.5083157756
14.7	0.5073504197
14.8	0.5063850638
14.9	0.5054197079
15	0.504454352
15.1	0.5044520522
15.2	0.5044497524
15.3	0.5044474526
15.4	0.5044451528
15.5	0.504442853
15.6	0.5044405532
15.7	0.5044382534
15.8	0.5044359536
15.9	0.5044336538
16	0.504431354
16.1	0.5044368271
16.2	0.5044423002
16.3	0.5044477733
16.4	0.5044532464
16.5	0.5044587195
16.6	0.5044641926
16.7	0.5044696657
16.8	0.5044751388
16.9	0.5044806119
17	0.504486085
17.1	0.5044826809
17.2	0.5044792768
17.3	0.5044758727
17.4	0.5044724686
17.5	0.5044690645
17.6	0.5044656604
17.7	0.5044622563
17.8	0.5044588522
17.9	0.5044554481
18	0.504452044
18.1	0.5039968771
18.2	0.5035417102
18.3	0.5030865433
18.4	0.5026313764
18.5	0.5021762095
18.6	0.5017210426
18.7	0.5012658757
18.8	0.5008107088
18.9	0.5003555419
19	0.499900375
19.1	0.4998540787
19.2	0.4998077824
19.3	0.4997614861
19.4	0.4997151898
19.5	0.4996688935
19.6	0.4996225972
19.7	0.4995763009
19.8	0.4995300046
19.9	0.4994837083
20	0.499437412
20.1	0.499445492
20.2	0.499453572
20.3	0.499461652
20.4	0.499469732
20.5	0.499477812
20.6	0.499485892
20.7	0.499493972
20.8	0.499502052
20.9	0.499510132
21	0.499518212
21.1	0.4995132591
21.2	0.4995083062
21.3	0.4995033533
21.4	0.4994984004
21.5	0.4994934475
21.6	0.4994884946
21.7	0.4994835417
21.8	0.4994785888
21.9	0.4994736359
22	0.499468683
22.1	0.499456075
22.2	0.499443467
22.3	0.499430859
22.4	0.499418251
22.5	0.499405643
22.6	0.499393035
22.7	0.499380427
22.8	0.499367819
22.9	0.499355211
23	0.499342603
23.1	0.499298263
23.2	0.499253923
23.3	0.499209583
23.4	0.499165243
23.5	0.499120903
23.6	0.499076563
23.7	0.499032223
23.8	0.498987883
23.9	0.498943543
24	0.498899203
24.1	0.4988797239
24.2	0.4988602448
24.3	0.4988407657
24.4	0.4988212866
24.5	0.4988018075
24.6	0.4987823284
24.7	0.4987628493
24.8	0.4987433702
24.9	0.4987238911
25	0.498704412
25.1	0.4987011146
25.2	0.4986978172
25.3	0.4986945198
25.4	0.4986912224
25.5	0.498687925
25.6	0.4986846276
25.7	0.4986813302
25.8	0.4986780328
25.9	0.4986747354
26	0.498671438
26.1	0.4999194726
26.2	0.5011675072
26.3	0.5024155418
26.4	0.5036635764
26.5	0.504911611
26.6	0.5061596456
26.7	0.5074076802
26.8	0.5086557148
26.9	0.5099037494
27	0.511151784
27.1	0.5111778031
27.2	0.5112038222
27.3	0.5112298413
27.4	0.5112558604
27.5	0.5112818795
27.6	0.5113078986
27.7	0.5113339177
27.8	0.5113599368
27.9	0.5113859559
28	0.511411975
28.1	0.5097924608
28.2	0.5081729466
28.3	0.5065534324
28.4	0.5049339182
28.5	0.503314404
28.6	0.5016948898
28.7	0.5000753756
28.8	0.4984558614
28.9	0.4968363472
29	0.495216833
29.1	0.4956041417
29.2	0.4959914504
29.3	0.4963787591
29.4	0.4967660678
29.5	0.4971533765
29.6	0.4975406852
29.7	0.4979279939
29.8	0.4983153026
29.9	0.4987026113
30	0.49908992
30.1	0.499237369
30.2	0.499384818
30.3	0.499532267
30.4	0.499679716
30.5	0.499827165
30.6	0.499974614
30.7	0.500122063
30.8	0.500269512
30.9	0.500416961
31	0.50056441
31.1	0.5006748778
31.2	0.5007853456
31.3	0.5008958134
31.4	0.5010062812
31.5	0.501116749
31.6	0.5012272168
31.7	0.5013376846
31.8	0.5014481524
31.9	0.5015586202
32	0.501669088
32.1	0.5017271713
32.2	0.5017852546
32.3	0.5018433379
32.4	0.5019014212
32.5	0.5019595045
32.6	0.5020175878
32.7	0.5020756711
32.8	0.5021337544
32.9	0.5021918377
33	0.502249921
33.1	0.5023254394
33.2	0.5024009578
33.3	0.5024764762
33.4	0.5025519946
33.5	0.502627513
33.6	0.5027030314
33.7	0.5027785498
33.8	0.5028540682
33.9	0.5029295866
34	0.503005105
34.1	0.5038443462
34.2	0.5046835874
34.3	0.5055228286
34.4	0.5063620698
34.5	0.507201311
34.6	0.5080405522
34.7	0.5088797934
34.8	0.5097190346
34.9	0.5105582758
35	0.511397517
35.1	0.5116864572
35.2	0.5119753974
35.3	0.5122643376
35.4	0.5125532778
35.5	0.512842218
35.6	0.5131311582
