Age	C13organic
0	-22.05
0.1	-21.6366666666667
0.2	-21.6533333333333
0.3	-22.08
0.4	-22.585
0.5	-22.5716666666667
0.6	-22.0883333333333
0.7	-22.432
0.8	-22.88
0.9	-21.6053333333333
1	-21.132
1.1	-20.8983333333333
1.2	-21.92
1.3	-21.9
1.4	-21.8333333333333
1.5	-22.06
1.6	-22.0733333333333
1.7	-21.5
1.8	-21.5
1.9	-22.9433333333333
2	-22.4928571428571
2.1	-23.0816666666667
2.2	-22.26
2.3	-21.44
2.4	-21.75
2.5	-21.9642857142857
2.6	-21.5825
2.7	-21.9554545454545
2.8	-22.7069230769231
2.9	-23.1915384615385
3	-22.092
3.1	-22.1227272727273
3.2	-22.54
3.3	-21.49
3.4	-22.3554545454545
3.5	-23.225
3.6	-23.6123076923077
3.7	-23.0866666666667
3.8	-22.5610256410256
3.9	-22.0353846153846
4	-21.7105882352941
4.1	-21.6635294117647
4.2	-21.8157142857143
4.3	-22.4014285714286
4.4	-22.87
4.5	-21.8288235294118
4.6	-21.1515
4.7	-21.6665
4.8	-22.1815
4.9	-22.6965
5	-23.16
5.1	-22.9323529411765
5.2	-22.73
5.3	-22.3535294117647
5.4	-22.1195238095238
5.5	-22.4147619047619
5.6	-22.71
5.7	-22.195
5.8	-21.68
5.9	-22.1564705882353
6	-22.5452380952381
6.1	-23.097619047619
6.2	-23.65
6.3	-23.4805882352941
6.4	-23.29
6.5	-22.96
6.6	-22.5933333333333
6.7	-22.2266666666667
6.8	-22.3835294117647
6.9	-23.1423529411765
7	-23.5961904761905
7.1	-24.0485714285714
7.2	-24.1376470588235
7.3	-23.2258823529412
7.4	-22.8072
7.5	-22.9312
7.6	-23.0552
7.7	-23.1792
7.8	-23.3032
7.9	-23.3913333333333
8	-23.4046666666667
8.1	-23.4042857142857
8.2	-23.39
8.3	-23.3931818181818
8.4	-23.525
8.5	-23.6568181818182
8.6	-23.4517647058824
8.7	-23.14
8.8	-23.1352941176471
8.9	-23.1294117647059
9	-23.1235294117647
9.1	-23.1628571428571
