Age	Sea_level
0	-10.86
0.1	-30.03
0.2	3.96
0.3	-23.52
0.4	9.13
0.5	-5.84
0.6	-40.68
0.7	-57.98
0.8	-68.33
0.9	-58.54
1	-35.46
1.1	-34.64
1.2	-21.2
1.3	-34.61
1.4	-9.77
1.5	-42.21
1.6	-16.09
1.7	-42.54
1.8	-32.9
1.9	-38.74
2	-17.25
2.1	-29.56
2.2	-26.48
2.3	-5.82
2.4	-27.51
2.5	-8.61
2.6	-36.32
2.7	-35.74
2.8	-31.12
2.9	-9.15
3	-14.26
3.1	4.66
3.2	4.66
3.3	-27.31
3.4	-8.82
3.5	26.87
3.6	12.33
3.7	22
3.8	6.21
3.9	14.66
4	-25.49
4.1	12.37
4.2	5.07
4.3	2.9
4.4	2.56
4.5	-6.66
4.6	-5.31
4.7	-10.21
4.8	-0.66
4.9	-39.06
5	-1.66
5.1	-8.21
5.2	-0.23
5.3	-3.69
5.4	-5.58
5.5	-7.34
5.6	-7.65
5.7	-9.58
5.8	0.05
5.9	-7.24
6	-15.39
6.1	-4.22
6.2	-10.02
6.3	-5.84
6.4	-8.56
6.5	-20.15
6.6	-12.05
6.7	-6.16
6.8	-8.62
6.9	-4.06
7	-5.78
7.1	-5.06
7.2	12.86
7.3	-13.46
7.4	4.08
7.5	-9.64
7.6	-18.7
7.7	-17.52
7.8	-26.92
7.9	-16.19
8	-18.7
8.1	-22.8633333333333
8.2	-27.0266666666667
8.3	-31.19
8.4	-14.87
8.5	-13.88
8.6	-27.77
8.7	-22.23
8.8	-26.44
8.9	-33.73
9	-20.58
9.1	-24.27
9.2	-22.4
9.3	-18.42
9.4	-22.95
9.5	-18.03
9.6	6.07
9.7	-19.45
9.8	-4.22
9.9	-24.92
10	-2.14
10.1	10.07
10.2	-2.83
10.3	-18.06
10.4	5.61
10.5	1.12
10.6	-7.57
10.7	7.62
10.8	-12.53
10.9	2.01
11	4.61
11.1	-12.01
11.2	0.53
11.3	-8.12
11.4	-4.94
11.5	5
11.6	1.18
11.7	4.51
11.8	13.51
11.9	-15.61
12	20.14
12.1	3.34
12.2	-0.37
12.3	15.31
12.4	-7.9
12.5	-4.1
12.6	4.19
12.7	0.01
12.8	-19.44
12.9	-18.07
13	-23.89
13.1	8.4
13.2	2.06
13.3	-14.62
13.4	-5
13.5	5.47
13.6	-9.49
13.7	3.95
13.8	6.38
13.9	59.26
14	40.67
14.1	27.27
14.2	15.63
14.3	21.17
14.4	-0.14
14.5	30.08
14.6	26.62
14.7	14.96
14.8	21.71
14.9	11.81
15	25.78
15.1	50.64
15.2	53.23
15.3	26.14
15.4	4.82
15.5	39.28
15.6	22.81
15.7	13.77
15.8	15.94
15.9	-6.06
16	62.41
16.1	17.16
16.2	30.75
16.3	10.06
16.4	33.22
16.5	35.57
16.6	24.61
16.7	4.73
16.8	21.31
16.9	29.23
17	2.55
17.1	-3.78
17.2	4.49
17.3	34.21
17.4	16.61
17.5	5.6
17.6	-15.98
17.7	12.12
17.8	6.33
17.9	-31.7
18	-22.54
18.1	-6.2
18.2	-6.16
18.3	-10.37
18.4	-23.47
18.5	0
18.6	-21.84
18.7	-23.85
18.8	3.01
18.9	-22.57
19	-23.9
19.1	-11.48
19.2	0.84
19.3	-5.59
19.4	-34.15
19.5	-25.25
19.6	-14.58
19.7	8.15
19.8	-25.53
19.9	-20.9
20	-0.46
20.1	-7.535
20.2	-14.61
20.3	19.61
20.4	10.86
20.5	-40.63
20.6	-39.39
20.7	-7.93
20.8	-20.5
20.9	-54.56
21	-17.02
21.1	-6.8
21.2	2.13
21.3	-25.11
21.4	-20.71
21.5	6.43
21.6	33.57
21.7	1.26
