Age	Diversity
0	0.944941530202136
0.1	0.991534341726749
0.2	1
0.3	1
0.4	0.944941530202136
0.5	0.9346284485087
0.6	0.9346284485087
0.7	0.9346284485087
0.8	0.9346284485087
0.9	0.944941530202136
1	0.944941530202136
1.1	0.944941530202136
1.2	0.944941530202136
1.3	0.964506424660697
1.4	0.964506424660697
1.5	0.982808161164113
1.6	0.982808161164113
1.7	0.982808161164113
1.8	0.954892673758307
1.9	0.954892673758307
2	0.923926103209802
2.1	0.912803952516616
2.2	0.901227712868035
2.3	0.901227712868035
2.4	0.889158721588866
2.5	0.889158721588866
2.6	0.876553157790005
2.7	0.849525240723953
2.8	0.849525240723953
2.9	0.679991525557183
3	0.679991525557183
3.1	0.679991525557183
3.2	0.679991525557183
3.3	0.634838211127825
3.4	0.589684896698468
3.5	0.589684896698468
3.6	0.456401976258308
3.7	0.456401976258308
3.8	0.456401976258308
3.9	0.311542816169567
4	0.311542816169567
4.1	0.311542816169567
4.2	0.311542816169567
4.3	0.393123264465645
4.4	0.393123264465645
4.5	0.393123264465645
4.6	0.393123264465645
4.7	0.393123264465645
4.8	0.393123264465645
4.9	0.311542816169567
5	0.196561632232823
5.1	0.196561632232823
5.2	0.196561632232823
5.3	0.196561632232823
5.4	0.196561632232823
5.5	0.196561632232823
5.6	0.196561632232823
5.7	0
5.8	0
5.9	0
6	0
6.1	0
6.2	0
6.3	0
6.4	0
6.5	0
6.6	0
6.7	0
6.8	0
6.9	0
7	0
7.1	0
7.2	0
7.3	0
7.4	0
7.5	0
7.6	0
7.7	0
7.8	0
7.9	0
8	0
8.1	0
8.2	0
8.3	0
8.4	0
8.5	0
8.6	0
8.7	0
8.8	0
8.9	0
9	0
9.1	0
9.2	0
9.3	0
9.4	0
9.5	0
9.6	0
9.7	0
9.8	0
9.9	0
10	0
10.1	0
10.2	0
10.3	0
10.4	0
10.5	0
10.6	0
10.7	0
10.8	0
10.9	0
11	0
11.1	0
11.2	0
11.3	0
11.4	0
