Age	Altitude
23	0.140380593943374
23.5	0.123034449448548
24	0.105688304953729
24.5	0.0891131002142349
25	0.0725378954747408
25.5	0.0636720882885008
26	0.0548062811022607
26.5	0.0390020161180911
27	0.0231977511339236
27.5	0.0170302330913207
28	0.0108627150487199
28.5	0.00430972712845358
29	-0.00224326079181058
29.5	-0.0111090679780506
30	-0.0199748751642927
30.5	-0.0338517907601477
31	-0.0477287063560027
31.5	-0.0577509231752307
32	-0.0677731399944586
32.5	-0.0862756941222653
33	-0.104778248250072
33.5	-0.116727814457614
34	-0.128677380665157
34.5	-0.148721814303613
35	-0.168766247942071
35.5	-0.193050850234817
36	-0.217335452527563
36.5	-0.231983307878743
37	-0.246631163229925
37.5	-0.261279018581104
38	-0.275926873932284
38.5	-0.300596946102693
39	-0.325267018273103
39.5	-0.345311451911559
40	-0.365355885550017
40.5	-0.391182367353414
41	-0.41700884915681
41.5	-0.448231909247484
42	-0.479454969338157
42.5	-0.507594270407531
43	-0.535733571476904
43.5	-0.559632703891987
44	-0.58353183630707
44.5	-0.607816438599816
45	-0.632101040892563
45.5	-0.647905305876732
46	-0.6637095708609
46.5	-0.679899305722731
47	-0.696089040584561
47.5	-0.71035142605808
48	-0.724613811531596
48.5	-0.740803546393427
49	-0.756993281255258
49.5	-0.770870196851113
50	-0.784747112446968
50.5	-0.802093256941787
51	-0.819439401436605
51.5	-0.837556485686751
52	-0.855673569936894
52.5	-0.873405184309376
53	-0.891136798681856
53.5	-0.908482943176675
54	-0.925829087671494
54.5	-0.948571810453591
55	-0.971314533235686
55.5	-0.990588027118817
56	-1.00986152100195
