Age	Diversity
23	0.124910858280168
23.5	-0.631600812643295
24	-0.294769438415053
24.5	-0.135214394708513
25	0.198875099853228
25.5	0.26790460517172
26	-0.0410532397662135
26.5	-0.294769438415053
27	-0.631600812643295
27.5	-1.13413003180549
28	-1.01221764437326
28.5	-0.804511641253688
29	-0.483483000985791
29.5	-0.353931767304221
30	-0.416681825847283
30.5	-0.294769438415053
31	-0.353931767304221
31.5	-0.483483000985791
32	-0.631600812643295
32.5	-0.631600812643295
33	-0.903163297681011
33.5	-1.01221764437326
34	-1.01221764437326
34.5	-0.804511641253688
35	-0.714449735110273
35.5	-0.631600812643295
36	-0.631600812643295
36.5	-0.631600812643295
37	-0.714449735110273
37.5	-0.903163297681011
38	-1.43189794106848
38.5	-1.43189794106848
39	-2.5690264437219
39.5	-3.28647464968011
40	-3.28647464968011
40.5	-3.28647464968011
