Age	d13C_corr_adj
0	-0.8
0.1	-0.49
0.2	0.13
0.3	-1.03
0.4	-0.17
0.5	-0.31
0.6	0.18
0.7	-0.53
0.8	-1.1
0.9	-0.24
1	-0.4
1.1	-1.19
1.2	-0.55
1.3	-1.09
1.4	-0.24
1.5	-0.33
1.6	-0.5
1.7	-1.25
1.8	-0.08
1.9	-0.36
2	-0.18
2.1	-0.19
2.2	-1.03
2.3	-0.11
2.4	-0.88
2.5	-0.1
2.6	-0.75
2.7	-0.71
2.8	-0.43
2.9	-0.01
3	-0.51
3.1	-0.66
3.2	-0.14
3.3	-0.38
3.4	-0.07
3.5	-0.08
3.6	0.03
3.7	-0.14
3.8	0.07
3.9	-0.08
4	-0.44
4.1	-0.07
4.2	-0.44
4.3	-0.04
4.4	-0.01
4.5	0.08
4.6	-0.18
4.7	-0.08
4.8	-0.35
4.9	-0.16
5	-0.49
5.1	-0.32
5.2	-0.2
5.3	0.19
5.4	-0.03
5.5	0.06
5.6	0.04
5.7	0.16
5.8	-0.22
5.9	-0.55
6	-0.57
6.1	-0.09
6.2	-0.3
6.3	-0.09
6.4	-0.61
6.5	-0.46
6.6	-0.11
6.7	-0.34
6.8	0
6.9	-0.14
7	0.16
7.1	0
7.2	0.41
7.3	0.36
7.4	0.65
7.5	0.49
7.6	0.57
7.7	0.79
7.8	0.68
7.9	0.49
8	0.43
8.1	0.47
8.2	0.9
8.3	0.65
8.4	0.62
8.5	0.81
8.6	0.98
8.7	0.6
8.8	0.71
8.9	0.83
9	0.32
9.1	0.58
9.2	0.54
9.3	0.24
9.4	0.43
9.5	0.29
9.6	0.5
9.7	0.36
9.8	0.43
9.9	-0.17
10	0.52
10.1	0.65
10.2	0.56
10.3	0.77
10.4	0.74
10.5	0.61
10.6	0.37
10.7	0.07
10.8	-0.04
10.9	0.42
11	0.48
11.1	0.49
11.2	0.48
11.3	0.26
11.4	0.17
11.5	0.63
11.6	1.02
11.7	0.68
11.8	0.69
11.9	0.63
12	0.22
12.1	0.24
12.2	0.44
12.3	0.45
12.4	0.59
12.5	0.77
12.6	0.71
12.7	0.8
12.8	0.69
12.9	0.65
13	0.78
13.1	0.75
13.2	0.94
13.3	0.91
13.4	0.95
13.5	0.86
13.6	1.23
13.7	1.57
13.8	1.21
13.9	0.88
14	1.01
14.1	1.32
14.2	1.23
14.3	1.27
14.4	1.5
14.5	1.53
14.6	1.38
14.7	1.35
14.8	1.19
14.9	1.24
15	1.39
15.1	0.99
15.2	1.04
15.3	1.37
15.4	1.65
15.5	1.3
15.6	1.09
15.7	1.41
15.8	1.207
15.9	1.548
16	1.002
16.1	1.752
16.2	1.112
16.3	0.98
16.4	1.054
16.5	1.103
16.6	1.155
16.7	0.914
16.8	0.775
16.9	0.55
17	0.665
17.1	0.772
17.2	0.821
17.3	0.33
17.4	0.33
17.5	0.595
17.6	0.56
17.7	0.54
17.8	0.64
17.9	0.66
18	0.52
18.1	0.68
18.2	0.454
18.3	0.653
18.4	0.449
18.5	0.681
18.6	0.676
18.7	0.35
18.8	0.652
18.9	0.726
19	0.788
19.1	0.837
19.2	0.723
19.3	0.688
19.4	0.76
19.5	0.945
19.6	0.782
19.7	0.6
19.8	0.745
19.9	0.653
20	0.392
20.1	0.71
20.2	0.53
20.3	0.77
20.4	0.39
20.5	0.76
20.6	0.82
20.7	0.75
20.8	0.53
20.9	0.65
21	0.65
21.1	0.8
21.2	0.54
21.3	0.51
21.4	0.74
21.5	0.44
21.6	0.38
21.7	0.68
21.8	1.06
21.9	1.2
22	0.63
22.1	1.06
22.2	1.16
22.3	1.26
22.4	1.07
22.5	0.94
22.6	0.96
22.7	1
22.8	0.87
22.9	0.82
23	0.98
23.1	0.94
23.2	1.09
23.3	0.52
23.4	0.82
23.5	0.92
23.6	1.04
23.7	0.51
23.8	0.35
23.9	0.49
24	0.43
24.1	0.6
24.2	0.47
24.3	0.79
24.4	0.7
24.5	0.62
24.6	0.17
24.7	0.66
24.8	0.68
24.9	0.2
25	0.48
25.1	0.58
25.2	0.52
25.3	0.53
25.4	0.41
25.5	0.48
25.6	0.73
25.7	0.67
25.8	0.77
25.9	0.65
26	0.54
26.1	0.38
26.2	0.37
26.3	0.62
26.4	0.52
26.5	0.27
26.6	0.34
26.7	0.45
26.8	0.69
26.9	0.56
27	0.42
27.1	0.37
27.2	0.34
27.3	0.46
27.4	0.52
27.5	0.8
27.6	0.27
27.7	0.39
27.8	0.54
27.9	0.47
28	0.19
28.1	0.01
28.2	-0.02
28.3	0.46
28.4	0.47
28.5	0.03
28.6	0.32
28.7	0.08
28.8	0.13
28.9	0.37
29	0.65
29.1	0.43
29.2	0.12
29.3	0.3
29.4	0.16
29.5	0.72
29.6	0.45
29.7	0.62
29.8	0.27
29.9	0.49
30	0.03
30.1	0.39
30.2	0.61
30.3	0.62
30.4	0.74
30.5	0.66
30.6	0.73
30.7	0.83
30.8	0.86
30.9	0.83
31	1.05
31.1	0.93
31.2	0.94
31.3	0.73
31.4	0.66
31.5	0.91
31.6	0.91
31.7	0.69
31.8	0.67
31.9	0.7
32	0.92
32.1	0.75
32.2	0.42
32.3	0.66
32.4	0.76
32.5	0.83
32.6	0.95
32.7	0.98
32.8	1.084
32.9	0.88
33	1
33.1	0.91
33.2	1.088
33.3	1.32
33.4	1.31
33.5	1.5
33.6	1.506
33.7	1.103
33.8	0.979
33.9	1
34	1.23
34.1	0.202
34.2	0.14
34.3	0.759
34.4	0.58
34.5	0.88
34.6	0.71
34.7	0.74
34.8	0.82
34.9	0.27
35	0.66
35.1	0.6
35.2	0.79
35.3	0.68
35.4	0.63
35.5	1.03
35.6	0.988
35.7	0.804
35.8	0.688
35.9	0.708
36	1.037
36.1	0.848
36.2	1.223
36.3	0.772
36.4	1.393
36.5	1.305
36.6	1.285
36.7	1.101
36.8	1.041
36.9	0.978
37	1.213
37.1	0.86
37.2	0.756
37.3	0.719
37.4	0.943
37.5	0.845
37.6	0.926
37.7	0.6133
37.8	0.6406
37.9	0.4494
38	0.5661
38.1	0.6706
38.2	0.6645
38.3	0.5029
38.4	0.6643
38.5	0.4976
38.6	0.4039
38.7	0.5398
38.8	0.5222
38.9	0.827
39	0.7759
39.1	0.4561
39.2	0.7257
39.3	0.5755
39.4	0.7211
39.5	0.6517
39.6	0.8239
39.7	0.9213
39.8	0.989
39.9	1.005
40	1.2069
40.1	0.908
40.2	1.005
40.3	0.639
40.4	0.551
40.5	0.904
40.6	0.278
40.7	0.374
40.8	0.365
40.9	0.363
41	0.581
41.1	0.579
41.2	0.548
41.3	0.526
41.4	0.105
41.5	0.1534
41.6	0.321
41.7	0.56
41.8	0.475
41.9	0.394
42	0.396
42.1	0.439
42.2	0.289
42.3	0.345
42.4	-0.09
42.5	0.376
42.6	0.456
42.7	0.481
42.8	0.525
42.9	0.315
43	0.596
43.1	0.562
43.2	0.6
43.3	0.65
43.4	0.557
43.5	0.196
43.6	0.522
43.7	0.786
43.8	0.49
43.9	0.497
44	0.432
44.1	0.637
44.2	0.548
44.3	0.112
44.4	0.347
44.5	0.427
44.6	0.608
44.7	0.583
44.8	0.427
44.9	0.4769
45	0.416
45.1	0.53
45.2	0.463
45.3	0.55
45.4	0.532
45.5	0.445
45.6	0.5082
45.7	0.6441
45.8	0.6391
45.9	0.486
46	0.3533
46.1	0.3822
46.2	0.4606
46.3	0.2645
46.4	0.3695
46.5	0.4631
46.6	0.4206
46.7	0.3734
46.8	0.4782
46.9	0.4675
47	0.6033
47.1	0.4662
47.2	0.4875
47.3	0.4175
47.4	0.6454
47.5	0.6676
47.6	0.4674
47.7	0.8388
47.8	0.7723
47.9	0.509
48	0.569
48.1	0.452
48.2	0.815
48.3	0.6128
48.4	0.6722
48.5	0.5942
48.6	0.8032
48.7	0.7498
48.8	0.5945
48.9	0.52
49	0.9177
49.1	0.8625
49.2	0.7725
49.3	0.5404
49.4	0.6946
49.5	0.3556
49.6	0.7688
49.7	0.6884
49.8	0.6693
49.9	0.6207
50	0.574
50.1	0.849
50.2	0.449
50.3	0.929
50.4	0.479
50.5	0.037
50.6	0.561
50.7	0.943
50.8	0.575
50.9	0.411
51	0.896
51.1	0.773
51.2	0.384
51.3	0.593
51.4	0.083
51.5	-0.11
51.6	-0.315
51.7	0.157
51.8	-0.25
51.9	-0.019
52	0.255
52.1	0.448
52.2	0.321
52.3	0.232
52.4	0.223
52.5	0.05
52.6	-0.08
52.7	-0.09
52.8	-0.14
52.9	-0.14
53	0.07
53.1	-0.25
53.2	0.04
53.3	-0.4715
53.4	0.0385
53.5	0.06
53.6	-0.2907
53.7	0.27
53.8	0.2314
53.9	0.04
54	-0.0778
54.1	0.167
54.2	0.1224
54.3	0.1152
54.4	-0.1075
54.5	0.001
54.6	0.5277
54.7	0.3996
54.8	0.3368
54.9	0.4996
55	0.887
55.1	0.8177
55.2	0.7773
55.3	0.74
55.4	0.7697
55.5	0.8397
55.6	0.8743
55.7	0.7116
55.8	-0.2061
55.9	0.7051
56	0.9243
56.1	0.8829
56.2	1.2448
56.3	1.5478
