clade,species,ts,te,mid,bin,nb_occ
0,52,56.95,36.39,46.67,Ypresian,1
0,114,47.83,36.77,42.3,Ypresian,2
0,115,47.6,41.08,44.34,Ypresian,3
0,118,47.46,41.71,44.585,Ypresian,4
0,119,47.32,44.11,45.715,Ypresian,0
0,120,47.01,46.97,46.989999999999995,Ypresian,0
0,121,46.47,44.51,45.489999999999995,Ypresian,2
0,123,46.27,45.21,45.74,Ypresian,0
0,124,46.11,43.92,45.015,Ypresian,0
0,126,45.78,45.5,45.64,Ypresian,4
0,127,45.59,44.38,44.985,Ypresian,1
0,128,45.52,44.15,44.835,Ypresian,3
0,130,45.37,41.75,43.56,Ypresian,1
0,131,45.36,38.85,42.105000000000004,Ypresian,1
0,132,45.33,37.22,41.275,Ypresian,2
0,134,44.85,40.74,42.795,Ypresian,0
0,135,44.55,42.63,43.59,Ypresian,1
0,140,43.7,42.09,42.895,Ypresian,1
0,141,43.66,40.22,41.94,Ypresian,0
0,142,43.47,39.97,41.72,Ypresian,1
0,144,43.34,41.12,42.230000000000004,Ypresian,0
0,146,43.28,42.63,42.955,Ypresian,5
0,151,42.68,41.32,42.0,Ypresian,5
0,154,42.58,41.42,42.0,Ypresian,8
0,112,47.89,46.45,47.17,Ypresian,2
0,111,48.13,43.79,45.96,Ypresian,1
0,156,42.32,40.31,41.315,Ypresian,0
0,109,48.24,44.03,46.135000000000005,Ypresian,1
0,57,56.01,39.11,47.56,Ypresian,7
0,64,55.09,39.14,47.115,Ypresian,2
0,66,54.37,37.53,45.95,Ypresian,1
0,74,52.26,42.71,47.485,Ypresian,1
0,79,51.73,33.78,42.754999999999995,Ypresian,1
0,80,51.64,40.97,46.305,Ypresian,0
0,85,51.24,40.38,45.81,Ypresian,0
0,110,48.17,47.17,47.67,Ypresian,4
0,92,50.23,35.87,43.05,Ypresian,3
0,93,50.12,38.64,44.379999999999995,Ypresian,2
0,94,50.02,44.77,47.395,Ypresian,0
0,88,50.95,39.06,45.005,Ypresian,0
0,62,55.2,37.84,46.52,Ypresian,5
0,98,49.38,45.18,47.28,Ypresian,0
0,99,49.22,42.46,45.84,Ypresian,2
0,108,48.3,42.06,45.18,Ypresian,2
0,101,48.95,41.07,45.010000000000005,Ypresian,0
0,102,48.86,35.67,42.265,Ypresian,0
0,106,48.32,45.93,47.125,Ypresian,0
0,105,48.35,42.86,45.605000000000004,Ypresian,1
0,95,49.87,37.52,43.695,Ypresian,3
0,153,42.62,38.41,40.515,Lutetian,0
0,191,38.27,37.34,37.80500000000001,Lutetian,0
0,155,42.4,34.7,38.55,Lutetian,0
0,158,41.96,39.69,40.825,Lutetian,1
0,160,41.54,40.5,41.019999999999996,Lutetian,0
0,184,38.96,38.6,38.78,Lutetian,2
0,180,39.13,38.95,39.040000000000006,Lutetian,0
0,162,41.38,37.33,39.355000000000004,Lutetian,0
0,165,40.85,36.9,38.875,Lutetian,0
0,182,39.08,36.93,38.004999999999995,Lutetian,0
0,167,40.78,40.16,40.47,Lutetian,0
0,168,40.73,36.05,38.39,Lutetian,0
0,169,40.73,38.42,39.575,Lutetian,2
0,152,42.65,35.95,39.3,Lutetian,0
0,175,40.25,39.02,39.635000000000005,Lutetian,2
0,177,39.7,37.1,38.400000000000006,Lutetian,0
0,161,41.38,38.43,39.905,Lutetian,1
0,164,41.15,36.87,39.01,Lutetian,0
0,159,41.56,39.03,40.295,Lutetian,0
0,136,44.29,37.22,40.754999999999995,Lutetian,2
0,117,47.52,32.11,39.815,Lutetian,0
0,116,47.53,29.82,38.675,Lutetian,0
0,113,47.86,33.8,40.83,Lutetian,0
0,133,44.96,33.16,39.06,Lutetian,1
0,137,43.95,32.63,38.290000000000006,Lutetian,1
0,138,43.92,38.06,40.99,Lutetian,0
0,139,43.76,37.48,40.62,Lutetian,1
0,150,42.76,37.08,39.92,Lutetian,1
0,145,43.31,33.91,38.61,Lutetian,0
0,198,37.5,35.63,36.565,Bartonian,1
0,205,36.34,34.41,35.375,Bartonian,3
0,183,38.97,36.28,37.625,Bartonian,0
0,212,35.8,33.73,34.765,Bartonian,3
0,185,38.89,35.03,36.96,Bartonian,1
0,186,38.85,35.6,37.225,Bartonian,1
0,187,38.78,31.43,35.105000000000004,Bartonian,0
0,188,38.54,33.63,36.085,Bartonian,5
0,190,38.28,36.76,37.519999999999996,Bartonian,0
0,202,36.56,35.61,36.085,Bartonian,1
0,192,38.06,29.92,33.99,Bartonian,3
0,194,37.9,33.67,35.785,Bartonian,0
0,181,39.12,32.92,36.019999999999996,Bartonian,1
0,201,36.8,34.21,35.504999999999995,Bartonian,1
0,195,37.74,36.86,37.3,Bartonian,0
0,199,37.33,34.5,35.915,Bartonian,4
0,215,35.55,32.26,33.905,Bartonian,3
0,149,42.77,28.4,35.585,Bartonian,3
0,218,35.35,32.91,34.129999999999995,Bartonian,0
0,219,35.26,35.22,35.239999999999995,Bartonian,5
0,147,42.89,32.12,37.504999999999995,Bartonian,2
0,233,34.3,34.2,34.25,Bartonian,0
0,157,41.99,30.51,36.25,Bartonian,3
0,70,52.96,21.04,37.0,Bartonian,0
0,122,46.29,28.6,37.445,Bartonian,1
0,129,45.39,29.94,37.665,Bartonian,0
0,166,40.83,32.79,36.81,Bartonian,3
0,173,40.39,34.48,37.435,Bartonian,0
0,176,39.9,30.01,34.955,Bartonian,0
0,174,40.26,27.72,33.989999999999995,Bartonian,2
0,251,32.72,23.84,28.28,Priabonian,0
0,255,32.46,29.8,31.130000000000003,Priabonian,0
0,242,33.47,31.34,32.405,Priabonian,0
0,234,34.29,32.22,33.254999999999995,Priabonian,2
0,254,32.61,28.38,30.494999999999997,Priabonian,0
0,236,34.05,28.25,31.15,Priabonian,1
0,253,32.63,30.97,31.8,Priabonian,0
0,241,33.65,31.94,32.795,Priabonian,0
0,256,32.38,26.13,29.255000000000003,Priabonian,0
0,244,33.32,29.7,31.509999999999998,Priabonian,2
0,252,32.67,30.81,31.740000000000002,Priabonian,0
0,240,33.69,33.49,33.59,Priabonian,0
0,237,33.79,30.93,32.36,Priabonian,1
0,247,32.99,24.83,28.91,Priabonian,0
0,245,33.29,31.99,32.64,Priabonian,0
0,257,32.29,24.8,28.545,Priabonian,1
0,290,29.94,28.9,29.42,Priabonian,1
0,260,31.96,30.84,31.4,Priabonian,0
0,304,29.31,28.97,29.14,Priabonian,1
0,305,29.28,27.09,28.185000000000002,Priabonian,0
0,313,28.88,27.06,27.97,Priabonian,0
0,321,28.07,27.61,27.84,Priabonian,1
0,297,29.69,26.8,28.245,Priabonian,0
0,292,29.89,27.88,28.884999999999998,Priabonian,0
0,291,29.92,25.95,27.935000000000002,Priabonian,0
0,287,30.01,26.69,28.35,Priabonian,0
0,259,32.04,23.67,27.855,Priabonian,0
0,286,30.03,26.38,28.205,Priabonian,3
0,279,30.47,26.4,28.435,Priabonian,0
0,274,31.2,30.26,30.73,Priabonian,0
0,272,31.5,28.62,30.060000000000002,Priabonian,1
0,271,31.51,27.39,29.450000000000003,Priabonian,2
0,269,31.56,25.29,28.424999999999997,Priabonian,2
0,268,31.6,30.54,31.07,Priabonian,1
0,265,31.67,25.01,28.340000000000003,Priabonian,1
0,264,31.8,27.1,29.450000000000003,Priabonian,0
0,282,30.19,26.15,28.17,Priabonian,1
0,231,34.45,24.43,29.44,Priabonian,1
0,235,34.09,27.97,31.03,Priabonian,2
0,203,36.43,30.87,33.65,Priabonian,1
0,189,38.49,26.47,32.480000000000004,Priabonian,0
0,193,37.96,20.41,29.185000000000002,Priabonian,0
0,178,39.38,17.24,28.310000000000002,Priabonian,1
0,91,50.34,14.32,32.33,Priabonian,0
0,204,36.41,31.15,33.78,Priabonian,1
0,171,40.56,16.39,28.475,Priabonian,0
0,170,40.63,15.58,28.105,Priabonian,0
0,207,36.31,25.34,30.825000000000003,Priabonian,2
0,208,36.24,29.78,33.010000000000005,Priabonian,0
0,163,41.36,25.51,33.435,Priabonian,0
0,148,42.86,20.97,31.915,Priabonian,2
0,210,36.07,28.57,32.32,Priabonian,0
0,211,35.93,19.72,27.825,Priabonian,0
0,214,35.55,22.89,29.22,Priabonian,3
0,216,35.55,25.74,30.644999999999996,Priabonian,0
0,213,35.56,31.81,33.685,Priabonian,1
0,179,39.36,17.88,28.619999999999997,Priabonian,1
0,229,34.47,28.14,31.305,Priabonian,0
0,220,35.26,31.67,33.465,Priabonian,1
0,143,43.38,21.05,32.215,Priabonian,1
0,221,35.05,28.14,31.595,Priabonian,0
0,222,34.99,29.14,32.065,Priabonian,0
0,228,34.57,31.01,32.79,Priabonian,1
0,224,34.74,22.91,28.825000000000003,Priabonian,0
0,82,51.5,12.45,31.975,Priabonian,0
0,227,34.59,29.97,32.28,Priabonian,0
0,226,34.61,30.72,32.665,Priabonian,2
0,335,27.47,23.99,25.729999999999997,Rupelian,0
0,310,29.11,24.65,26.88,Rupelian,0
0,333,27.58,22.72,25.15,Rupelian,0
0,332,27.59,18.47,23.03,Rupelian,0
0,331,27.63,25.61,26.619999999999997,Rupelian,0
0,322,28.0,19.86,23.93,Rupelian,0
0,330,27.76,26.02,26.89,Rupelian,0
0,83,51.46,2.14,26.8,Rupelian,0
0,230,34.47,15.94,25.205,Rupelian,2
0,317,28.42,24.53,26.475,Rupelian,2
0,318,28.36,24.1,26.23,Rupelian,0
0,336,27.37,20.83,24.1,Rupelian,0
0,324,27.89,27.01,27.450000000000003,Rupelian,0
0,311,29.03,18.04,23.535,Rupelian,2
0,328,27.78,23.05,25.415,Rupelian,3
0,232,34.31,18.99,26.65,Rupelian,1
0,343,27.08,25.45,26.265,Rupelian,0
0,399,23.82,23.44,23.630000000000003,Rupelian,1
0,397,23.93,23.06,23.494999999999997,Rupelian,0
0,394,24.03,22.77,23.4,Rupelian,0
0,392,24.22,22.61,23.415,Rupelian,2
0,384,24.74,21.52,23.13,Rupelian,0
0,382,24.89,21.46,23.175,Rupelian,0
0,373,25.3,23.1,24.200000000000003,Rupelian,0
0,372,25.33,24.22,24.775,Rupelian,1
0,371,25.34,24.6,24.97,Rupelian,0
0,370,25.35,21.9,23.625,Rupelian,0
0,338,27.31,22.47,24.89,Rupelian,4
0,367,25.43,25.3,25.365000000000002,Rupelian,0
0,365,25.48,24.53,25.005000000000003,Rupelian,1
0,364,25.51,21.02,23.265,Rupelian,0
0,361,25.65,20.61,23.13,Rupelian,3
0,357,25.96,23.59,24.775,Rupelian,1
0,353,26.1,25.59,25.845,Rupelian,3
0,351,26.33,25.67,26.0,Rupelian,1
0,350,26.41,23.96,25.185000000000002,Rupelian,2
0,348,26.6,23.64,25.12,Rupelian,0
0,345,26.84,26.6,26.72,Rupelian,1
0,344,26.97,26.32,26.645,Rupelian,3
0,366,25.48,24.28,24.880000000000003,Rupelian,0
0,308,29.16,24.68,26.92,Rupelian,0
0,314,28.87,21.93,25.4,Rupelian,1
0,225,34.7,14.77,24.735,Rupelian,0
0,261,31.96,21.93,26.945,Rupelian,3
0,267,31.6,22.08,26.84,Rupelian,1
0,258,32.05,15.99,24.02,Rupelian,0
