clade	species	ts	te
0	1	100.0	80.99
0	2	89.38	86.9
0	3	87.09	76.42
0	4	84.02	68.71
0	5	83.85	76.44
0	6	82.42	68.67
0	7	82.23	71.92
0	8	81.27	76.5
0	9	77.08	74.36
0	10	76.79	73.79
0	11	75.22	56.92
0	12	75.08	73.82
0	13	75.0	66.55
0	14	74.84	68.9
0	15	72.83	68.51
0	16	72.33	62.15
0	17	71.68	71.35
0	18	71.46	70.6
0	19	71.25	65.84
0	20	70.95	66.87
0	21	69.63	64.74
0	22	68.78	66.64
0	23	68.55	68.01
0	24	68.21	60.46
0	25	67.23	59.75
0	26	65.91	45.96
0	27	65.6	59.1
0	28	65.34	45.52
0	29	64.82	53.68
0	30	64.42	63.22
0	31	64.0	62.39
0	32	63.28	57.15
0	33	63.17	53.43
0	34	62.1	61.06
0	35	61.47	46.64
0	36	60.4	59.96
0	37	60.26	50.92
0	38	58.48	56.41
0	39	57.74	48.43
0	40	57.38	56.13
0	41	55.41	32.39
0	42	55.06	52.66
0	43	54.79	36.2
0	44	54.77	51.66
0	45	54.06	51.39
0	46	54.05	24.49
0	47	53.94	46.86
0	48	53.2	48.93
0	49	52.86	52.7
0	50	52.83	51.46
0	51	51.96	41.18
0	52	51.92	49.53
0	53	51.64	41.47
0	54	51.59	51.17
0	55	50.58	29.19
0	56	50.53	32.52
0	57	49.82	38.39
0	58	49.81	41.14
0	59	49.37	47.63
0	60	49.34	49.11
0	61	49.32	42.09
0	62	48.43	9.6
0	63	48.29	42.67
0	64	47.78	46.37
0	65	47.69	47.4
0	66	47.63	43.02
0	67	47.03	45.85
0	68	46.92	31.49
0	69	46.01	42.66
0	70	45.66	9.89
0	71	45.01	29.67
0	72	45.01	28.04
0	73	44.97	13.8
0	74	44.82	21.89
0	75	44.66	36.23
0	76	44.65	41.41
0	77	44.51	28.85
0	78	44.45	42.89
0	79	44.29	32.6
0	80	44.25	41.57
0	81	43.99	13.88
0	82	43.99	35.69
0	83	43.54	30.42
0	84	43.06	31.24
0	85	43.02	38.85
0	86	42.99	41.96
0	87	42.92	21.98
0	88	42.72	29.55
0	89	42.43	37.64
0	90	42.39	41.91
0	91	42.13	37.96
0	92	42.12	25.71
0	93	42.09	33.76
0	94	41.97	38.67
0	95	41.89	27.15
0	96	41.68	37.85
0	97	41.66	15.44
0	98	41.63	21.91
0	99	41.33	29.55
0	100	41.21	11.56
0	101	41.13	36.18
0	102	40.85	23.03
0	103	40.71	0.0
0	104	40.45	38.82
0	105	40.41	36.67
0	106	40.38	23.39
0	107	40.38	39.98
0	108	40.37	39.64
0	109	40.13	29.94
0	110	39.82	37.34
0	111	39.56	28.6
0	112	39.43	38.74
0	113	39.34	23.46
0	114	39.33	25.11
0	115	39.22	37.15
0	116	39.19	32.94
0	117	39.1	25.14
0	118	39.09	15.51
0	119	39.05	30.18
