clade,species,ts,te,mid,bin,nb_occ
0,37,45.99,39.69,42.84,Ypresian,0
0,45,45.06,38.47,41.765,Ypresian,5
0,44,45.18,43.11,44.144999999999996,Ypresian,1
0,49,44.5,44.21,44.355000000000004,Ypresian,0
0,42,45.38,38.21,41.795,Ypresian,1
0,41,45.43,43.43,44.43,Ypresian,0
0,40,45.61,43.53,44.57,Ypresian,0
0,39,45.84,44.68,45.260000000000005,Ypresian,0
0,38,45.85,43.35,44.6,Ypresian,0
0,51,44.17,41.38,42.775000000000006,Ypresian,0
0,35,46.34,40.66,43.5,Ypresian,1
0,34,46.34,43.15,44.745000000000005,Ypresian,1
0,32,46.57,44.42,45.495000000000005,Ypresian,0
0,46,44.85,39.06,41.955,Ypresian,0
0,31,46.8,43.19,44.995,Ypresian,0
0,29,47.31,41.75,44.53,Ypresian,1
0,12,53.68,34.57,44.125,Ypresian,0
0,57,43.32,41.76,42.54,Ypresian,0
0,17,50.97,34.44,42.705,Ypresian,2
0,20,49.7,44.64,47.17,Ypresian,0
0,21,49.04,37.26,43.15,Ypresian,0
0,22,48.42,43.73,46.075,Ypresian,1
0,30,47.12,39.06,43.09,Ypresian,0
0,56,43.53,41.25,42.39,Ypresian,0
0,25,47.74,37.61,42.675,Ypresian,0
0,55,43.59,42.18,42.885000000000005,Ypresian,0
0,63,42.25,40.93,41.59,Ypresian,0
0,71,41.46,41.44,41.45,Ypresian,0
0,24,47.79,46.52,47.155,Ypresian,1
0,48,44.5,38.48,41.489999999999995,Ypresian,0
0,75,41.27,34.21,37.74,Lutetian,5
0,73,41.37,40.35,40.86,Lutetian,1
0,11,54.08,26.48,40.28,Lutetian,0
0,78,40.95,40.44,40.695,Lutetian,1
0,61,42.29,35.57,38.93,Lutetian,4
0,82,40.12,37.58,38.849999999999994,Lutetian,4
0,85,39.87,38.91,39.39,Lutetian,4
0,87,39.6,36.21,37.905,Lutetian,1
0,94,39.07,39.04,39.055,Lutetian,2
0,95,39.07,38.87,38.97,Lutetian,1
0,97,38.88,38.83,38.855000000000004,Lutetian,0
0,101,38.57,38.12,38.345,Lutetian,3
0,77,41.04,39.63,40.335,Lutetian,0
0,60,42.59,36.0,39.295,Lutetian,0
0,67,41.99,40.11,41.05,Lutetian,2
0,23,48.22,33.86,41.04,Lutetian,0
0,54,43.82,32.56,38.19,Lutetian,1
0,36,46.11,36.03,41.07,Lutetian,1
0,47,44.81,33.52,39.165000000000006,Lutetian,4
0,53,43.85,38.02,40.935,Lutetian,2
0,27,47.48,34.88,41.18,Lutetian,7
0,58,43.21,31.85,37.53,Bartonian,0
0,98,38.79,29.58,34.185,Bartonian,4
0,99,38.77,36.11,37.44,Bartonian,1
0,126,36.24,34.99,35.615,Bartonian,10
0,15,52.19,22.22,37.205,Bartonian,13
0,102,38.45,31.49,34.97,Bartonian,5
0,103,38.45,34.37,36.41,Bartonian,5
0,125,36.26,33.94,35.099999999999994,Bartonian,0
0,107,37.98,30.97,34.474999999999994,Bartonian,1
0,108,37.98,36.2,37.09,Bartonian,2
0,109,37.95,32.15,35.05,Bartonian,5
0,110,37.73,36.07,36.9,Bartonian,4
0,111,37.72,37.49,37.605000000000004,Bartonian,2
0,124,36.38,32.45,34.415000000000006,Bartonian,5
0,113,37.39,35.77,36.58,Bartonian,0
0,122,36.52,34.84,35.68000000000001,Bartonian,6
0,117,36.85,33.57,35.21,Bartonian,3
0,118,36.79,31.77,34.28,Bartonian,7
0,106,38.22,32.56,35.39,Bartonian,3
0,88,39.46,28.68,34.07,Bartonian,0
0,89,39.34,34.24,36.790000000000006,Bartonian,1
0,86,39.67,35.38,37.525000000000006,Bartonian,0
0,62,42.26,32.91,37.584999999999994,Bartonian,12
0,119,36.78,35.31,36.045,Bartonian,0
0,139,35.36,33.06,34.21,Bartonian,6
0,50,44.32,31.07,37.695,Bartonian,8
0,43,45.3,30.05,37.675,Bartonian,2
0,80,40.16,28.36,34.26,Bartonian,3
0,133,35.75,35.22,35.485,Bartonian,0
0,83,39.91,32.47,36.19,Bartonian,0
0,76,41.06,32.33,36.695,Bartonian,4
0,120,36.63,32.63,34.63,Bartonian,3
0,132,35.76,35.44,35.599999999999994,Bartonian,3
0,159,33.38,26.89,30.135,Priabonian,1
0,160,33.34,28.11,30.725,Priabonian,2
0,161,33.31,26.19,29.75,Priabonian,0
0,184,32.04,26.77,29.405,Priabonian,2
0,162,33.27,31.55,32.410000000000004,Priabonian,1
0,171,32.75,29.78,31.265,Priabonian,0
0,174,32.5,29.43,30.965,Priabonian,3
0,163,33.23,31.79,32.51,Priabonian,1
0,182,32.27,29.3,30.785000000000004,Priabonian,0
0,158,33.44,28.07,30.755,Priabonian,0
0,168,33.02,23.52,28.270000000000003,Priabonian,1
0,175,32.42,28.35,30.385,Priabonian,0
0,156,33.68,30.0,31.84,Priabonian,1
0,181,32.27,30.47,31.37,Priabonian,1
0,170,32.95,28.97,30.96,Priabonian,7
0,157,33.66,30.73,32.195,Priabonian,0
0,155,33.75,21.9,27.825,Priabonian,2
0,167,33.07,32.47,32.769999999999996,Priabonian,0
