clade	species	ts	te
0	1	100.0	86.85
0	2	87.42	74.05
0	3	82.72	66.1
0	4	81.59	81.57
0	5	81.29	54.78
0	6	81.18	80.9
0	7	78.15	60.79
0	8	72.67	66.98
0	9	71.05	61.27
0	10	69.99	68.13
0	11	69.52	59.08
0	12	66.72	46.04
0	13	66.65	53.36
0	14	66.44	65.84
0	15	66.33	48.41
0	16	66.13	65.29
0	17	66.13	64.34
0	18	65.94	56.33
0	19	65.5	60.9
0	20	65.44	63.01
0	21	65.0	56.22
0	22	64.04	60.28
0	23	63.93	50.21
0	24	63.82	60.43
0	25	62.86	62.69
0	26	62.56	58.23
0	27	62.18	58.75
0	28	60.83	55.86
0	29	60.63	52.85
0	30	60.45	58.04
0	31	59.91	56.04
0	32	59.83	58.96
0	33	59.55	44.24
0	34	59.14	37.11
0	35	58.45	53.81
0	36	58.41	42.75
0	37	58.4	34.88
0	38	58.34	53.2
0	39	58.33	52.24
0	40	58.26	55.13
0	41	58.19	48.29
0	42	58.11	44.16
0	43	58.09	55.24
0	44	57.93	54.61
0	45	57.89	55.73
0	46	57.65	52.05
0	47	57.02	54.63
0	48	56.88	56.74
0	49	56.77	54.73
0	50	56.28	42.77
0	51	55.87	50.66
0	52	55.79	34.72
0	53	54.61	40.3
0	54	54.52	28.58
0	55	54.35	13.57
0	56	54.1	52.76
0	57	54.05	29.68
0	58	53.91	42.27
0	59	53.57	37.04
0	60	53.17	50.4
0	61	53.05	41.57
0	62	52.86	49.49
0	63	52.71	50.44
0	64	52.57	52.32
0	65	52.55	42.54
0	66	52.46	47.19
0	67	52.28	40.81
0	68	51.97	30.88
0	69	51.58	45.12
0	70	50.97	45.43
0	71	50.95	21.06
0	72	50.84	40.77
0	73	50.43	44.54
0	74	50.34	47.83
0	75	50.26	46.1
0	76	50.14	47.27
0	77	49.74	39.11
0	78	49.56	41.6
0	79	49.5	46.68
0	80	49.35	35.31
0	81	49.29	36.18
0	82	49.04	29.17
0	83	48.52	40.75
0	84	48.39	40.03
0	85	48.18	41.07
0	86	47.93	40.49
0	87	47.85	36.31
0	88	47.76	47.0
0	89	47.54	42.99
0	90	47.49	40.27
0	91	47.45	45.86
0	92	47.04	45.34
0	93	46.93	35.83
0	94	46.81	40.17
0	95	46.59	36.61
0	96	46.58	31.03
0	97	46.48	42.24
0	98	46.45	36.77
0	99	46.32	41.13
0	100	46.23	38.89
0	101	46.08	32.82
0	102	45.36	44.42
0	103	45.15	44.29
0	104	44.98	44.82
0	105	44.91	43.82
0	106	44.86	37.1
0	107	44.83	41.11
0	108	44.79	43.61
0	109	44.74	32.53
0	110	44.69	44.28
0	111	44.46	43.64
0	112	44.32	43.37
