Species	Status	MinT	MaxT
74	extinct	45.2	46.69
74	extinct	45.76	46.37
82	extinct	42.81	44.27
82	extinct	42.04	42.21
82	extinct	42.51	42.87
81	extinct	44.08	45.09
81	extinct	44.11	44.59
79	extinct	44.33	45.31
78	extinct	41.22	42.95
76	extinct	44.34	45.83
76	extinct	42.87	46.1
75	extinct	42.01	43.38
75	extinct	43.04	43.75
75	extinct	45.4	45.73
75	extinct	44.87	45.68
75	extinct	43.63	44.5
75	extinct	42.63	43.34
75	extinct	43.21	43.73
75	extinct	43.51	44.68
72	extinct	45.19	45.36
72	extinct	45.02	46.7
72	extinct	41.17	45.39
71	extinct	46.56	47.06
117	extinct	40.65	41.4
117	extinct	40.96	41.11
117	extinct	40.48	41.17
117	extinct	40.7	41.28
96	extinct	41.49	41.96
96	extinct	41.23	41.83
65	extinct	48.23	48.79
107	extinct	41.33	41.97
60	extinct	41.86	45.78
60	extinct	48.09	48.56
60	extinct	44.88	46.09
59	extinct	45.29	50.26
50	extinct	52.77	52.83
50	extinct	37.37	40.63
41	extinct	41.55	45.44
41	extinct	46.85	49.83
68	extinct	40.82	42.29
68	extinct	41.41	42.56
68	extinct	45.77	48.23
68	extinct	46.16	47.33
97	extinct	38.24	42.08
120	extinct	38.85	39.28
94	extinct	41.6	41.69
106	extinct	39.47	40.83
138	extinct	37.59	37.64
61	extinct	36.54	42.45
61	extinct	44.47	46.01
125	extinct	38.11	39.65
125	extinct	35.64	36.55
73	extinct	36.98	41.48
132	extinct	38.36	38.61
127	extinct	36.84	39.9
127	extinct	36.01	39.15
127	extinct	38.03	38.47
121	extinct	37.25	37.97
88	extinct	39.8	40.64
88	extinct	35.94	40.49
88	extinct	38.15	43.17
88	extinct	38.5	43.61
88	extinct	34.34	41.11
89	extinct	36.48	41.72
89	extinct	38.17	39.35
113	extinct	40.2	41.03
137	extinct	36.64	38.51
137	extinct	35.46	36.13
137	extinct	35.75	38.52
137	extinct	35.52	36.07
134	extinct	36.99	37.85
134	extinct	36.05	36.33
133	extinct	33.19	35.08
133	extinct	32.64	37.51
40	extinct	54.06	56.7
142	extinct	36.29	37.96
142	extinct	36.11	36.59
142	extinct	36.18	36.5
144	extinct	37.17	37.75
144	extinct	36.89	37.45
144	extinct	37.26	37.54
144	extinct	36.94	37.54
145	extinct	37.01	37.56
145	extinct	36.77	37.46
145	extinct	37.03	37.52
145	extinct	36.97	37.75
145	extinct	36.87	37.46
147	extinct	35.28	36.07
147	extinct	32.63	35.15
147	extinct	33.06	35.57
149	extinct	35.0	35.87
151	extinct	35.24	35.55
151	extinct	35.18	36.33
159	extinct	33.14	33.62
159	extinct	32.01	32.97
160	extinct	35.52	35.78
160	extinct	35.32	35.91
167	extinct	34.87	35.48
167	extinct	34.82	35.8
169	extinct	33.74	33.83
177	extinct	33.8	34.62
177	extinct	33.81	33.99
177	extinct	33.82	34.66
140	extinct	35.5	38.19
152	extinct	36.13	36.47
129	extinct	35.17	39.3
129	extinct	32.92	36.65
129	extinct	35.35	38.87
129	extinct	34.24	35.7
129	extinct	37.17	37.5
129	extinct	32.14	33.07
122	extinct	36.79	38.54
122	extinct	39.59	39.93
122	extinct	37.59	40.5
92	extinct	32.66	37.92
92	extinct	39.37	42.01
92	extinct	30.48	38.9
92	extinct	36.78	41.32
108	extinct	31.7	32.56
108	extinct	34.02	41.7
108	extinct	37.51	40.41
108	extinct	33.45	41.87
108	extinct	37.55	39.58
108	extinct	29.87	30.54
77	extinct	34.09	39.68
103	extinct	39.49	39.98
103	extinct	28.89	41.81
103	extinct	36.52	39.27
103	extinct	28.71	37.56
219	extinct	30.41	31.91
219	extinct	30.17	32.03
248	extinct	29.68	29.97
199	extinct	32.55	33.0
254	extinct	28.18	28.88
192	extinct	27.57	31.76
191	extinct	33.17	34.14
190	extinct	32.21	34.35
186	extinct	32.23	33.82
185	extinct	33.26	33.27
194	extinct	32.21	33.61
244	extinct	26.75	27.87
201	extinct	32.49	33.41
201	extinct	32.61	33.12
216	extinct	28.89	30.63
222	extinct	27.44	27.91
214	extinct	30.03	30.15
230	extinct	26.51	31.21
236	extinct	26.51	28.08
209	extinct	31.56	32.86
209	extinct	30.79	31.03
208	extinct	32.21	32.25
241	extinct	29.05	29.93
207	extinct	29.7	30.22
224	extinct	30.36	30.5
204	extinct	29.74	33.45
153	extinct	28.73	36.41
158	extinct	32.97	34.66
158	extinct	35.03	36.19
99	extinct	38.15	41.4
118	extinct	36.15	39.58
101	extinct	27.43	37.5
101	extinct	33.4	42.41
162	extinct	32.73	35.36
111	extinct	38.29	40.6
52	extinct	20.37	36.69
52	extinct	35.22	53.41
52	extinct	10.98	35.85
170	extinct	26.29	35.29
170	extinct	33.67	34.01
168	extinct	27.36	34.61
168	extinct	28.84	29.13
168	extinct	32.62	34.15
171	extinct	31.44	33.16
264	extinct	25.97	26.63
264	extinct	26.86	27.73
264	extinct	27.76	28.13
