Species	Status
100	extinct
102	extinct
103	extinct
104	extinct
105	extinct
106	extinct
108	extinct
109	extinct
110	extinct
111	extinct
113	extinct
115	extinct
120	extinct
121	extinct
122	extinct
123	extinct
124	extinct
125	extinct
126	extinct
127	extinct
128	extinct
130	extinct
131	extinct
132	extinct
133	extinct
135	extinct
136	extinct
137	extinct
138	extinct
142	extinct
143	extinct
144	extinct
146	extinct
147	extinct
148	extinct
149	extinct
150	extinct
151	extinct
152	extinct
153	extinct
155	extinct
156	extinct
157	extinct
159	extinct
160	extinct
165	extinct
166	extinct
168	extinct
169	extinct
170	extinct
175	extinct
176	extinct
177	extinct
178	extinct
180	extinct
181	extinct
182	extinct
185	extinct
187	extinct
189	extinct
191	extinct
193	extinct
194	extinct
196	extinct
198	extinct
202	extinct
206	extinct
207	extinct
209	extinct
211	extinct
214	extinct
217	extinct
219	extinct
22	extinct
223	extinct
224	extinct
225	extinct
229	extinct
230	extinct
233	extinct
234	extinct
235	extinct
236	extinct
239	extinct
241	extinct
242	extinct
243	extinct
248	extinct
249	extinct
250	extinct
258	extinct
259	extinct
268	extinct
270	extinct
272	extinct
273	extinct
275	extinct
279	extinct
282	extinct
283	extinct
288	extinct
290	extinct
292	extinct
293	extinct
294	extinct
301	extinct
302	extinct
308	extinct
309	extinct
310	extinct
311	extinct
312	extinct
315	extinct
316	extinct
319	extinct
320	extinct
322	extinct
323	extinct
325	extinct
326	extinct
327	extinct
33	extinct
330	extinct
34	extinct
340	extinct
341	extinct
342	extinct
343	extinct
346	extinct
347	extinct
348	extinct
349	extinct
35	extinct
352	extinct
354	extinct
355	extinct
356	extinct
357	extinct
362	extinct
367	extinct
369	extinct
370	extinct
375	extinct
382	extinct
39	extinct
392	extinct
405	extinct
43	extinct
44	extinct
46	extinct
47	extinct
49	extinct
50	extinct
51	extinct
52	extinct
54	extinct
55	extinct
56	extinct
58	extinct
60	extinct
61	extinct
64	extinct
65	extinct
66	extinct
67	extinct
69	extinct
71	extinct
74	extinct
75	extinct
76	extinct
77	extinct
78	extinct
79	extinct
80	extinct
81	extinct
82	extinct
84	extinct
89	extinct
90	extinct
91	extinct
92	extinct
93	extinct
95	extinct
96	extinct
97	extinct
98	extinct
99	extinct
