Species	Status
104	extinct
108	extinct
113	extinct
114	extinct
117	extinct
119	extinct
121	extinct
122	extinct
124	extinct
125	extinct
126	extinct
127	extinct
128	extinct
131	extinct
132	extinct
133	extinct
134	extinct
135	extinct
136	extinct
137	extinct
139	extinct
140	extinct
143	extinct
144	extinct
146	extinct
147	extinct
148	extinct
149	extinct
151	extinct
152	extinct
153	extinct
155	extinct
156	extinct
157	extinct
158	extinct
159	extinct
161	extinct
163	extinct
164	extinct
165	extinct
167	extinct
169	extinct
170	extinct
171	extinct
174	extinct
175	extinct
177	extinct
178	extinct
180	extinct
181	extinct
182	extinct
184	extinct
185	extinct
190	extinct
191	extinct
192	extinct
193	extinct
195	extinct
196	extinct
198	extinct
200	extinct
201	extinct
202	extinct
203	extinct
204	extinct
205	extinct
206	extinct
207	extinct
208	extinct
209	extinct
210	extinct
211	extinct
212	extinct
215	extinct
216	extinct
217	extinct
218	extinct
220	extinct
221	extinct
222	extinct
224	extinct
225	extinct
226	extinct
227	extinct
228	extinct
229	extinct
230	extinct
231	extinct
233	extinct
234	extinct
236	extinct
237	extinct
240	extinct
242	extinct
245	extinct
246	extinct
248	extinct
249	extinct
251	extinct
253	extinct
254	extinct
255	extinct
257	extinct
258	extinct
259	extinct
260	extinct
262	extinct
263	extinct
265	extinct
266	extinct
269	extinct
270	extinct
272	extinct
273	extinct
275	extinct
277	extinct
279	extinct
281	extinct
283	extinct
284	extinct
286	extinct
287	extinct
289	extinct
290	extinct
291	extinct
292	extinct
293	extinct
294	extinct
295	extinct
296	extinct
297	extinct
298	extinct
299	extinct
302	extinct
303	extinct
305	extinct
306	extinct
309	extinct
310	extinct
312	extinct
314	extinct
316	extinct
317	extinct
318	extinct
319	extinct
320	extinct
321	extinct
322	extinct
326	extinct
327	extinct
328	extinct
330	extinct
332	extinct
333	extinct
334	extinct
335	extinct
336	extinct
338	extinct
339	extinct
341	extinct
342	extinct
343	extinct
344	extinct
345	extinct
347	extinct
348	extinct
352	extinct
356	extinct
357	extinct
358	extinct
360	extinct
361	extinct
363	extinct
366	extinct
367	extinct
369	extinct
370	extinct
371	extinct
373	extinct
375	extinct
376	extinct
381	extinct
382	extinct
383	extinct
387	extinct
390	extinct
393	extinct
394	extinct
397	extinct
400	extinct
402	extinct
410	extinct
412	extinct
413	extinct
416	extinct
417	extinct
418	extinct
419	extinct
421	extinct
422	extinct
423	extinct
424	extinct
425	extinct
433	extinct
438	extinct
440	extinct
441	extinct
444	extinct
445	extinct
446	extinct
448	extinct
453	extinct
457	extinct
458	extinct
46	extinct
460	extinct
462	extinct
463	extinct
468	extinct
470	extinct
474	extinct
480	extinct
483	extinct
494	extinct
495	extinct
498	extinct
500	extinct
501	extinct
503	extinct
505	extinct
508	extinct
520	extinct
525	extinct
529	extinct
534	extinct
544	extinct
546	extinct
551	extinct
552	extinct
568	extinct
589	extinct
68	extinct
72	extinct
75	extinct
78	extinct
85	extinct
86	extinct
92	extinct
93	extinct
96	extinct
99	extinct
