Species	Status	MinT	MaxT
66	extinct	39.93	40.83
66	extinct	44.11	46.32
65	extinct	44.02	45.98
89	extinct	41.6	42.36
89	extinct	41.98	42.18
89	extinct	41.38	42.72
89	extinct	41.82	42.33
89	extinct	41.9	42.7
59	extinct	43.23	43.49
72	extinct	43.79	44.33
56	extinct	45.14	46.4
56	extinct	45.3	45.81
55	extinct	46.27	46.63
52	extinct	43.72	44.32
50	extinct	44.64	47.18
49	extinct	46.32	46.83
49	extinct	41.93	48.55
49	extinct	47.5	48.43
49	extinct	42.11	43.07
48	extinct	45.4	46.11
45	extinct	43.33	49.89
74	extinct	44.37	45.17
74	extinct	44.23	44.93
43	extinct	43.96	44.48
68	extinct	44.55	44.92
31	extinct	44.19	52.08
31	extinct	49.23	49.53
31	extinct	50.43	51.42
31	extinct	47.41	54.23
31	extinct	50.93	54.57
31	extinct	26.82	48.52
98	extinct	40.61	40.77
105	extinct	39.23	39.26
111	extinct	35.81	36.7
116	extinct	37.51	37.57
126	extinct	37.66	38.21
126	extinct	37.65	37.89
106	extinct	38.03	40.08
106	extinct	39.22	39.65
106	extinct	38.94	39.6
77	extinct	37.56	38.85
76	extinct	36.98	41.36
76	extinct	39.28	43.44
70	extinct	37.46	38.46
70	extinct	39.05	43.64
69	extinct	39.98	40.0
69	extinct	37.07	43.38
63	extinct	32.51	36.39
67	extinct	39.65	40.86
61	extinct	34.78	44.85
80	extinct	31.57	42.82
109	extinct	37.65	40.24
109	extinct	33.47	39.02
109	extinct	33.86	35.54
109	extinct	33.7	38.84
51	extinct	42.45	47.71
51	extinct	27.8	42.67
51	extinct	28.54	45.32
44	extinct	19.85	20.85
44	extinct	33.06	41.18
121	extinct	32.06	33.04
121	extinct	30.79	35.06
121	extinct	30.93	33.97
121	extinct	34.84	36.77
128	extinct	35.36	36.27
128	extinct	34.96	36.61
128	extinct	36.16	36.44
128	extinct	35.04	36.65
127	extinct	30.46	37.79
129	extinct	33.92	37.71
129	extinct	34.76	37.68
129	extinct	34.98	35.09
133	extinct	35.33	36.52
133	extinct	35.48	36.75
133	extinct	35.93	37.01
137	extinct	36.16	36.72
137	extinct	36.22	37.09
