clade	species	ts	te
0	1	66.0	57.88
0	2	57.62	56.71
0	3	55.81	54.91
0	4	54.83	53.33
0	5	54.35	51.26
0	6	51.62	44.29
0	7	50.82	45.99
0	8	50.48	47.7
0	9	49.57	42.36
0	10	49.09	45.2
0	11	48.89	47.17
0	12	47.98	41.71
0	13	47.71	45.21
0	14	47.13	46.29
0	15	46.94	46.06
0	16	46.81	43.8
0	17	45.66	35.3
0	18	45.64	43.59
0	19	45.52	45.07
0	20	45.2	40.09
0	21	45.06	38.09
0	22	44.88	37.08
0	23	44.77	37.32
0	24	44.71	43.09
0	25	44.67	41.88
0	26	44.59	41.5
0	27	44.33	41.12
0	28	44.31	42.4
0	29	44.18	38.82
0	30	44.12	37.66
0	31	43.86	40.74
0	32	43.77	37.99
0	33	43.73	41.19
0	34	43.63	33.99
0	35	43.58	38.59
0	36	43.58	41.35
0	37	43.46	9.4
0	38	43.45	41.28
0	39	43.41	41.22
0	40	43.16	42.41
0	41	43.11	39.63
0	42	43.06	40.24
0	43	42.65	40.89
0	44	42.54	35.9
0	45	42.46	36.49
0	46	42.42	39.92
0	47	42.39	20.88
0	48	42.29	41.76
0	49	42.24	36.49
0	50	42.17	38.74
0	51	42.13	41.95
0	52	41.97	41.77
0	53	41.94	40.74
0	54	41.82	38.23
0	55	41.81	40.13
0	56	41.77	36.88
0	57	41.74	40.97
0	58	41.69	41.52
0	59	41.68	40.65
0	60	41.6	37.39
0	61	41.48	39.43
0	62	41.47	36.54
0	63	41.46	39.97
0	64	41.4	39.98
0	65	41.36	40.06
0	66	41.27	41.11
0	67	41.25	33.24
0	68	41.21	37.39
0	69	41.19	32.62
0	70	41.17	40.02
0	71	41.14	27.6
0	72	41.11	24.19
0	73	41.05	38.73
0	74	41.01	35.12
0	75	40.96	28.32
0	76	40.91	38.63
0	77	40.91	40.58
0	78	40.89	35.23
0	79	40.67	39.44
0	80	40.58	34.48
0	81	40.49	31.04
0	82	40.44	38.71
0	83	40.44	39.64
0	84	40.43	31.64
0	85	40.39	33.48
0	86	40.38	39.06
0	87	40.38	34.26
0	88	40.31	33.97
0	89	40.29	38.06
0	90	40.14	40.02
0	91	40.11	39.34
0	92	40.1	31.47
0	93	40.1	33.06
0	94	40.1	35.2
0	95	40.06	36.83
0	96	40.02	30.22
0	97	39.96	34.48
0	98	39.91	34.93
0	99	39.73	37.35
0	100	39.66	36.01
0	101	39.64	20.16
0	102	39.59	20.83
0	103	39.56	35.05
0	104	39.56	29.64
0	105	39.53	37.48
0	106	39.46	38.47
0	107	39.44	38.84
0	108	39.42	33.03
0	109	39.38	38.49
0	110	39.36	34.04
0	111	39.35	35.6
0	112	39.35	32.12
0	113	39.3	34.05
0	114	39.26	39.2
0	115	39.25	39.15
0	116	39.21	25.72
0	117	39.19	38.39
0	118	39.14	34.74
0	119	39.08	37.31
0	120	39.0	37.79
0	121	38.99	36.85
0	122	38.9	35.71
0	123	38.85	36.73
0	124	38.84	37.63
0	125	38.82	38.38
0	126	38.78	37.52
0	127	38.78	36.83
0	128	38.73	32.21
0	129	38.69	35.78
0	130	38.64	37.14
0	131	38.63	38.37
0	132	38.57	35.84
0	133	38.52	36.83
0	134	38.45	30.45
0	135	38.45	28.66
0	136	38.42	35.82
0	137	38.37	38.18
0	138	38.35	30.53
0	139	38.34	34.12
0	140	38.29	33.39
0	141	38.27	37.27
0	142	38.26	24.69
0	143	38.25	36.85
0	144	38.24	37.74
0	145	38.18	35.57
0	146	38.18	37.32
0	147	38.17	37.88
0	148	38.15	36.6
0	149	38.14	28.13
0	150	38.12	37.37
0	151	38.07	29.72
0	152	38.06	36.27
0	153	38.02	29.59
0	154	38.0	36.12
0	155	38.0	36.71
0	156	37.91	35.06
0	157	37.86	24.08
0	158	37.83	32.81
0	159	37.82	36.37
0	160	37.82	35.67
0	161	37.77	34.9
0	162	37.76	35.43
0	163	37.75	35.99
0	164	37.66	33.78
0	165	37.64	18.16
0	166	37.63	29.04
0	167	37.62	35.38
0	168	37.58	35.25
0	169	37.56	37.08
0	170	37.56	31.15
0	171	37.55	34.76
0	172	37.54	29.43
0	173	37.5	36.56
0	174	37.46	36.81
0	175	37.4	35.54
0	176	37.39	25.81
0	177	37.34	33.92
0	178	37.34	33.2
0	179	37.33	31.55
0	180	37.31	36.07
0	181	37.31	29.53
0	182	37.3	32.33
0	183	37.26	30.42
0	184	37.25	35.88
0	185	37.23	36.54
0	186	37.18	34.19
0	187	37.17	31.0
0	188	37.17	33.5
0	189	37.13	35.72
0	190	37.12	32.64
0	191	37.05	32.5
0	192	37.05	32.51
0	193	37.02	27.9
0	194	37.0	31.17
0	195	37.0	32.75
0	196	36.96	36.37
0	197	36.96	36.42
0	198	36.95	29.99
0	199	36.9	29.17
0	200	36.86	33.59
0	201	36.86	28.22
0	202	36.85	26.64
0	203	36.85	30.15
0	204	36.82	26.33
0	205	36.77	31.82
0	206	36.74	36.7
0	207	36.72	16.07
0	208	36.71	29.92
0	209	36.67	36.45
