order,suborder,superfamily,retained_scale,family,genus
Didelphimorphia,,Didelphoidea,Didelphidae,Didelphidae,Micoureus
Microbiotheria,,,Microbiotheria,Microbiotheriidae,Clenia
Microbiotheria,,,Microbiotheria,Microbiotheriidae,Eomicrobiotherium
Microbiotheria,,,Microbiotheria,Microbiotheriidae,Kirutherium
Microbiotheria,,,Microbiotheria,Microbiotheriidae,Microbiotherium
Microbiotheria,,,Microbiotheria,Microbiotheriidae,Mirandatherium
Microbiotheria,,,Microbiotheria,Microbiotheriidae,Oligobiotherium
Microbiotheria,,,Microbiotheria,Microbiotheriidae,Pachybiotherium
Microbiotheria,,,Microbiotheria,Woodburnodontidae,Woodburnodon
Paucituberculata,,Caenolestoidea,Caenolestidae,Caenolestidae,Caenolestoides
Paucituberculata,,Caenolestoidea,Caenolestidae,Caenolestidae,Gaimanlestes
Paucituberculata,,Caenolestoidea,Caenolestidae,Caenolestidae,Perulestes
Paucituberculata,,Caenolestoidea,Caenolestidae,Caenolestidae,Pilchenia
Paucituberculata,,Caenolestoidea,Caenolestidae,Caenolestidae,Progarzonia
Paucituberculata,,Caenolestoidea,Caenolestidae,Caenolestidae,Pseudhalmarhiphus
Paucituberculata,,Caenolestoidea,Caenolestidae,Caenolestidae,Stilotherium
Paucituberculata,,Palaeothentoidea,Palaeothentoidea,Abderitidae,Abderites
Paucituberculata,,Palaeothentoidea,Palaeothentoidea,Abderitiidae,Pitheculites
Paucituberculata,,Palaeothentoidea,Palaeothentoidea,Palaeothentidae,Acdestis
Paucituberculata,,Palaeothentoidea,Palaeothentoidea,Palaeothentidae,Acdestodon
Paucituberculata,,Palaeothentoidea,Palaeothentoidea,Palaeothentidae,Acdestoides
Paucituberculata,,Palaeothentoidea,Palaeothentoidea,Palaeothentidae,Antawallathentes
Paucituberculata,,Palaeothentoidea,Palaeothentoidea,Palaeothentidae,Carlothentes
Paucituberculata,,Palaeothentoidea,Palaeothentoidea,Palaeothentidae,Palaeothentes
Paucituberculata,,Palaeothentoidea,Palaeothentoidea,Palaeothentidae,Parabderites
Paucituberculata,,Palaeothentoidea,Palaeothentoidea,Palaeothentidae,Propalaeothentes
Paucituberculata,,Palaeothentoidea,Palaeothentoidea,Palaeothentidae,Sasawatsu
Paucituberculata,,Palaeothentoidea,Palaeothentoidea,Palaeothentidae,Titanothentes
Paucituberculata,,Palaeothentoidea,Palaeothentoidea,Palaeothentidae,Trelewthentes
Paucituberculata,,Palaeothentoidea,Palaeothentoidea,Pichipilidae,Phonocdromus
Paucituberculata,,,,,Bardalestes
Paucituberculata,,,,,Evolestes
Paucituberculata,,,,,Riolestes
Polydolopimorphia,Bonapartheriiformes,Argyrolagoidea,Argyrolagidae,Argyrolagidae,Anargyrolagus
Polydolopimorphia,Bonapartheriiformes,Argyrolagoidea,Argyrolagidae,Argyrolagidae,Klohnia
Polydolopimorphia,Bonapartheriiformes,Argyrolagoidea,Argyrolagidae,Argyrolagidae,Proargyrolagus
Polydolopimorphia,Bonapartheriiformes,Bonapartherioidea,Bonapartherioidea,Bonapartheriidae,Bonapartherium
Polydolopimorphia,Bonapartheriiformes,Bonapartherioidea,Bonapartherioidea,Bonapartheriidae,Epidolops
Polydolopimorphia,Bonapartheriiformes,Bonapartherioidea,Bonapartherioidea,Prepidolopidae,Coloradolops
Polydolopimorphia,Bonapartheriiformes,Bonapartherioidea,Bonapartherioidea,Prepidolopidae,Incadolops
Polydolopimorphia,Bonapartheriiformes,Bonapartherioidea,Bonapartherioidea,Prepidolopidae,Prepidolops
Polydolopimorphia,Bonapartheriiformes,Bonapartherioidea,Bonapartherioidea,Prepidolopidae,Punadolops
Polydolopimorphia,Polydolopiformes,,Polydolopidae,Polydolopidae,Amphidolops
Polydolopimorphia,Polydolopiformes,,Polydolopidae,Polydolopidae,Eudolops
Polydolopimorphia,Polydolopiformes,,Polydolopidae,Polydolopidae,Hypodolops
Polydolopimorphia,Polydolopiformes,,Polydolopidae,Polydolopidae,Kramadolops
Polydolopimorphia,Polydolopiformes,,Polydolopidae,Polydolopidae,Polydolops
Polydolopimorphia,Polydolopiformes,,Polydolopidae,Polydolopidae,Pseudolops
Polydolopimorphia,,,,,Wamradolops
Sparassodonta,,Borhyaenoidea,Borhyaenoidea,Borhyaenidae,Acrocyon
Sparassodonta,,Borhyaenoidea,Borhyaenoidea,Borhyaenidae,Arctodictis
Sparassodonta,,Borhyaenoidea,Borhyaenoidea,Borhyaenidae,Australohyaena
Sparassodonta,,Borhyaenoidea,Borhyaenoidea,Borhyaenidae,Borhyaena
Sparassodonta,,Borhyaenoidea,Borhyaenoidea,Borhyaenidae,Fredszalaya
Sparassodonta,,Borhyaenoidea,Borhyaenoidea,Borhyaenidae,Nemolestes
Sparassodonta,,Borhyaenoidea,Borhyaenoidea,Proborhyaenidae,Arminiheringia
Sparassodonta,,Borhyaenoidea,Borhyaenoidea,Proborhyaenidae,Callistoe
Sparassodonta,,Borhyaenoidea,Borhyaenoidea,Proborhyaenidae,Paraborhyaena
Sparassodonta,,Borhyaenoidea,Borhyaenoidea,Proborhyaenidae,Proborhyaena
Sparassodonta,,Borhyaenoidea,Borhyaenoidea,Thylacosmilidae,Eomakhaira
Sparassodonta,,Borhyaenoidea,Borhyaenoidea,,Angelocabrerus
Sparassodonta,,Borhyaenoidea,Borhyaenoidea,,Chlorocyon
Sparassodonta,,Borhyaenoidea,Borhyaenoidea,,Lycopsis
Sparassodonta,,Borhyaenoidea,Borhyaenoidea,,Pharsophorus
Sparassodonta,,Borhyaenoidea,Borhyaenoidea,,Plesiofelis
Sparassodonta,,Borhyaenoidea,Borhyaenoidea,,Prothylacynus
Sparassodonta,,Borhyaenoidea,Borhyaenoidea,,Pseudothylacynus
Sparassodonta,,,Hathliacynidae,Hathliacynidae,Acyon
Sparassodonta,,,Hathliacynidae,Hathliacynidae,Cladosictis
Sparassodonta,,,Hathliacynidae,Hathliacynidae,Notogale
Sparassodonta,,,Hathliacynidae,Hathliacynidae,Perathereutes
Sparassodonta,,,Hathliacynidae,Hathliacynidae,Pseudonotictis
Sparassodonta,,,Hathliacynidae,Hathliacynidae,Sallacyon
Sparassodonta,,,Hathliacynidae,Hathliacynidae,Sipalocyon
Sparassodonta,,,,,Andinogale
Sparassodonta,,,,,Argyrolestes
Sparassodonta,,,,,Patene
Sparassodonta,,,,,Procladosictis
