"order","n_occ","n_gen","n_singl_gen","prop_singl_gen","n_sp","n_singl_sp","prop_singl_sp"
"Astrapotheria",137,15,5,0.33,33,19,0.58
"Basal_Marsupialia",46,21,9,0.43,36,28,0.78
"Chiroptera",2,1,0,0,2,2,1
"Cingulata",308,45,17,0.38,118,65,0.55
"Dasyuromorphia",3,1,0,0,2,1,0.5
"Didelphimorphia",13,5,3,0.6,7,4,0.57
"Gondwanatheria",1,1,1,1,1,1,1
"Groeberida",3,1,0,0,2,1,0.5
"Litopterna",218,44,18,0.41,88,48,0.55
"Microbiotheria",60,8,2,0.25,19,8,0.42
"Notoungulata",1097,136,39,0.29,301,147,0.49
"Paucituberculata",160,27,13,0.48,49,30,0.61
"Pilosa",118,26,14,0.54,54,33,0.61
"Polydolopimorphia",140,30,12,0.4,68,43,0.63
"Primates",57,14,9,0.64,19,11,0.58
"Pyrotheria",35,11,8,0.73,15,10,0.67
"Rodentia",700,101,31,0.31,216,110,0.51
"SANU",47,9,4,0.44,23,16,0.7
"Sparassodonta",218,29,7,0.24,49,21,0.43
"Xenungulata",4,2,1,0.5,4,4,1
"Total",3378,536,200,0.37,1115,609,0.55
